Series ID;Year;Value
Alabama;1980;1521130,833
Alabama;1981;1500420,917
Alabama;1982;1474267
Alabama;1983;1514302,333
Alabama;1984;1591387,417
Alabama;1985;1637886,583
Alabama;1986;1680463,5
Alabama;1987;1718154,75
Alabama;1988;1742445,167
Alabama;1989;1762935,083
Alabama;1990;1777608,167
Alabama;1991;1779884,833
Alabama;1992;1816349,917
Alabama;1993;1856783,333
Alabama;1994;1900762,833
Alabama;1995;1944018,5
Alabama;1996;1977535,417
Alabama;1997;2027146,583
Alabama;1998;2042829,917
Alabama;1999;2038989,583
Alabama;2000;2035565,917
Alabama;2001;2006601,917
Alabama;2002;1982366,833
Alabama;2003;1992559,833
Alabama;2004;2014613
Alabama;2005;2049860,333
Alabama;2006;2080321,833
Alabama;2007;2089058,5
Alabama;2008;2053103,5
Alabama;2009;1925771,833
Alabama;2010;1964694,333
Alabama;2011;1990569,917
Alabama;2012;2004116,75
Alabama;2013;2017267,083
Alabama;2014;2014239,75
Alabama;2015;2027212,167
Alabama;2016;2049971,333
Alabama;2017;2081691,667
Alabama;2018;2111834,333
Alabama;2019;2130836,25
Alaska;1980;169401,5
Alaska;1981;177704,0833
Alaska;1982;191722,25
Alaska;1983;208694,1667
Alaska;1984;221308,8333
Alaska;1985;227742,5833
Alaska;1986;227199,5833
Alaska;1987;223081,25
Alaska;1988;226976,9167
Alaska;1989;237792,25
Alaska;1990;248939,3333
Alaska;1991;253044,75
Alaska;1992;261585,6667
Alaska;1993;272681,5
Alaska;1994;279464,3333
Alaska;1995;281879,3333
Alaska;1996;286280,5833
Alaska;1997;290890,8333
Alaska;1998;295780,1667
Alaska;1999;297364,3333
Alaska;2000;299145,0833
Alaska;2001;300772,1667
Alaska;2002;302565,8333
Alaska;2003;305724,4167
Alaska;2004;311637,1667
Alaska;2005;320810,75
Alaska;2006;326532,1667
Alaska;2007;328597,5
Alaska;2008;332262,5
Alaska;2009;331793,5
Alaska;2010;333426,3333
Alaska;2011;338139,8333
Alaska;2012;339463,6667
Alaska;2013;339868,3333
Alaska;2014;340340,5
Alaska;2015;339731
Alaska;2016;337370,3333
Alaska;2017;335702,9167
Alaska;2018;333360,6667
Alaska;2019;331925,75
Arizona;1980;1146053,083
Arizona;1981;1192453,917
Arizona;1982;1206012,75
Arizona;1983;1263921
Arizona;1984;1357852,833
Arizona;1985;1392905,75
Arizona;1986;1454815,833
Arizona;1987;1513836,083
Arizona;1988;1560476,917
Arizona;1989;1627639,167
Arizona;1990;1691082,25
Arizona;1991;1697794,333
Arizona;1992;1732184
Arizona;1993;1824338,083
Arizona;1994;1974697,5
Arizona;1995;2109988,417
Arizona;1996;2157864,75
Arizona;1997;2203219,667
Arizona;1998;2284982,25
Arizona;1999;2363424,917
Arizona;2000;2410468,167
Arizona;2001;2461040,5
Arizona;2002;2516348,417
Arizona;2003;2578486,167
Arizona;2004;2654811,583
Arizona;2005;2748768,083
Arizona;2006;2863728,917
Arizona;2007;2918079,417
Arizona;2008;2913363,167
Arizona;2009;2818965,75
Arizona;2010;2769378,75
Arizona;2011;2748418,917
Arizona;2012;2776596
Arizona;2013;2795675,583
Arizona;2014;2889101,5
Arizona;2015;2975304,083
Arizona;2016;3065817,75
Arizona;2017;3165128,333
Arizona;2018;3271004,833
Arizona;2019;3331808,75
Arkansas;1980;922897,5833
Arkansas;1981;933380,5
Arkansas;1982;922668,9167
Arkansas;1983;930083,75
Arkansas;1984;951892,5833
Arkansas;1985;957078,25
Arkansas;1986;975962,4167
Arkansas;1987;1003728,75
Arkansas;1988;1027745,083
Arkansas;1989;1049841,25
Arkansas;1990;1053457,25
Arkansas;1991;1046000,917
Arkansas;1992;1072336,083
Arkansas;1993;1105476,833
Arkansas;1994;1153275,667
Arkansas;1995;1178637,75
Arkansas;1996;1183083,917
Arkansas;1997;1177654,083
Arkansas;1998;1177414,583
Arkansas;1999;1197341,667
Arkansas;2000;1204849,667
Arkansas;2001;1191139,75
Arkansas;2002;1201542
Arkansas;2003;1196247,917
Arkansas;2004;1226051,917
Arkansas;2005;1275668,583
Arkansas;2006;1294718,917
Arkansas;2007;1296673,583
Arkansas;2008;1299738,75
Arkansas;2009;1252429,083
Arkansas;2010;1242720,083
Arkansas;2011;1249600,5
Arkansas;2012;1241852,583
Arkansas;2013;1226586,5
Arkansas;2014;1237164,333
Arkansas;2015;1264629,75
Arkansas;2016;1286962,333
Arkansas;2017;1297649,667
Arkansas;2018;1301255,417
Arkansas;2019;1307764
California;1980;10787592,92
California;1981;10953684,92
California;1982;10942757,75
California;1983;11089258,5
California;1984;11657813
California;1985;12052635,75
California;1986;12438515,67
California;1987;12946787
California;1988;13394240,83
California;1989;13807529,92
California;1990;14259566,83
California;1991;13961628,92
California;1992;13880406,58
California;1993;13817922,08
California;1994;13943182,58
California;1995;14048955
California;1996;14301797,75
California;1997;14787116,75
California;1998;15187396,58
California;1999;15558995,58
California;2000;16033776,5
California;2001;16195029,42
California;2002;16110406,75
California;2003;16100682,25
California;2004;16300526,83
California;2005;16583799,67
California;2006;16787237,58
California;2007;16934085,25
California;2008;16851937,25
California;2009;16188110,58
California;2010;16092953,42
California;2011;16255889,58
California;2012;16605373,17
California;2013;16962360,17
California;2014;17310885,42
California;2015;17684499,58
California;2016;18002852,75
California;2017;18285073,5
California;2018;18573601,92
California;2019;18733278,25
Colorado;1980;1405221,667
Colorado;1981;1450992,667
Colorado;1982;1478985,917
Colorado;1983;1548297,5
Colorado;1984;1622547,917
Colorado;1985;1610380,083
Colorado;1986;1577705,083
Colorado;1987;1572884
Colorado;1988;1586630,417
Colorado;1989;1606493,833
Colorado;1990;1671092,25
Colorado;1991;1700644,167
Colorado;1992;1734689,583
Colorado;1993;1828704
Colorado;1994;1953096,917
Colorado;1995;2039899,25
Colorado;1996;2064067,583
Colorado;1997;2141109,5
Colorado;1998;2228266,083
Colorado;1999;2272274,167
Colorado;2000;2294267,917
Colorado;2001;2299585,917
Colorado;2002;2308117,333
Colorado;2003;2337934,5
Colorado;2004;2393243,75
Colorado;2005;2435108,417
Colorado;2006;2509262,333
Colorado;2007;2565886
Colorado;2008;2584919,417
Colorado;2009;2525081,167
Colorado;2010;2486413,333
Colorado;2011;2506846,583
Colorado;2012;2540218,5
Colorado;2013;2578470,25
Colorado;2014;2662291,167
Colorado;2015;2720187,417
Colorado;2016;2803309,333
Colorado;2017;2911110,167
Colorado;2018;2993491,667
Colorado;2019;3026162
Connecticut;1980;1495941,083
Connecticut;1981;1497858,583
Connecticut;1982;1498342,583
Connecticut;1983;1522332,75
Connecticut;1984;1585633,833
Connecticut;1985;1629245
Connecticut;1986;1670324,083
Connecticut;1987;1691774,75
Connecticut;1988;1695076,167
Connecticut;1989;1705754,25
Connecticut;1990;1726316,083
Connecticut;1991;1720643,333
Connecticut;1992;1689888,833
Connecticut;1993;1676273,417
Connecticut;1994;1657926,833
Connecticut;1995;1638959,667
Connecticut;1996;1645929,083
Connecticut;1997;1665128,667
Connecticut;1998;1682599,167
Connecticut;1999;1704262,083
Connecticut;2000;1721771,333
Connecticut;2001;1704764,917
Connecticut;2002;1697430,75
Connecticut;2003;1687731,667
Connecticut;2004;1686117
Connecticut;2005;1709618,917
Connecticut;2006;1748878,667
Connecticut;2007;1773333,167
Connecticut;2008;1774496,333
Connecticut;2009;1741033,083
Connecticut;2010;1737845,083
Connecticut;2011;1746029,5
Connecticut;2012;1729707,833
Connecticut;2013;1718712,583
Connecticut;2014;1762664,167
Connecticut;2015;1780979,583
Connecticut;2016;1794058,417
Connecticut;2017;1807413,917
Connecticut;2018;1825801,417
Connecticut;2019;1847325,75
Delaware;1980;262404,75
Delaware;1981;265389,9167
Delaware;1982;269676,4167
Delaware;1983;273337,9167
Delaware;1984;287799,6667
Delaware;1985;300379,9167
Delaware;1986;310838,4167
Delaware;1987;322678,5833
Delaware;1988;337528,25
Delaware;1989;347073,8333
Delaware;1990;343253,9167
Delaware;1991;339273,25
Delaware;1992;347270,9167
Delaware;1993;357811,5
Delaware;1994;366354,5833
Delaware;1995;369181,0833
Delaware;1996;368282,75
Delaware;1997;372170,25
Delaware;1998;380252,9167
Delaware;1999;385189,5
Delaware;2000;398038,4167
Delaware;2001;406967,75
Delaware;2002;400015,1667
Delaware;2003;397508,5833
Delaware;2004;403568,1667
Delaware;2005;414477,4167
Delaware;2006;425384,6667
Delaware;2007;428362,3333
Delaware;2008;424881,1667
Delaware;2009;401364,5833
Delaware;2010;397911,3333
Delaware;2011;410017,0833
Delaware;2012;413444,9167
Delaware;2013;413147,25
Delaware;2014;426346,6667
Delaware;2015;443151,1667
Delaware;2016;450982,0833
Delaware;2017;455507,5833
Delaware;2018;464214,9167
Delaware;2019;469416
Florida;1980;4013808,833
Florida;1981;4224823,5
Florida;1982;4330071,75
Florida;1983;4507854,75
Florida;1984;4833969,75
Florida;1985;5024044,583
Florida;1986;5267115,167
Florida;1987;5550316,5
Florida;1988;5744345,833
Florida;1989;5892006,667
Florida;1990;6065999,167
Florida;1991;6041483,667
Florida;1992;6107818,833
Florida;1993;6276078,917
Florida;1994;6498635,167
Florida;1995;6657385,5
Florida;1996;6800039,5
Florida;1997;7017406,75
Florida;1998;7198466,5
Florida;1999;7362161,667
Florida;2000;7566144,667
Florida;2001;7667841,25
Florida;2002;7657740,917
Florida;2003;7781632,917
Florida;2004;8047203,083
Florida;2005;8400038,667
Florida;2006;8707758,5
Florida;2007;8791706
Florida;2008;8634774,583
Florida;2009;8152682,333
Florida;2010;8194161,333
Florida;2011;8369824,75
Florida;2012;8589782,25
Florida;2013;8773622,583
Florida;2014;8965849,417
Florida;2015;9087193
Florida;2016;9354964,667
Florida;2017;9669242,25
Florida;2018;9864090,25
Florida;2019;9979431
Georgia;1980;2373297
Georgia;1981;2434175,083
Georgia;1982;2448188,583
Georgia;1983;2483630,167
Georgia;1984;2601300,75
Georgia;1985;2693017,083
Georgia;1986;2804811,167
Georgia;1987;2889824,25
Georgia;1988;2965299,083
Georgia;1989;3032001,5
Georgia;1990;3103428,667
Georgia;1991;3108554,083
Georgia;1992;3164035,75
Georgia;1993;3271558,833
Georgia;1994;3405558,583
Georgia;1995;3505147,25
Georgia;1996;3633003,75
Georgia;1997;3779738,25
Georgia;1998;3899434
Georgia;1999;3991507,333
Georgia;2000;4072198,333
Georgia;2001;4088466,833
Georgia;2002;4111660,083
Georgia;2003;4181876,167
Georgia;2004;4238316,583
Georgia;2005;4341670,083
Georgia;2006;4488545,833
Georgia;2007;4598309,25
Georgia;2008;4574400,083
Georgia;2009;4313154,667
Georgia;2010;4202021,417
Georgia;2011;4263083,917
Georgia;2012;4348448,333
Georgia;2013;4367996,083
Georgia;2014;4403480,833
Georgia;2015;4491544,083
Georgia;2016;4657862
Georgia;2017;4822362,083
Georgia;2018;4904898,167
Georgia;2019;4920975,75
Hawaii;1980;416623,0833
Hawaii;1981;425757,5833
Hawaii;1982;429875,4167
Hawaii;1983;442461
Hawaii;1984;446246,8333
Hawaii;1985;453369,25
Hawaii;1986;467950,5
Hawaii;1987;491098,0833
Hawaii;1988;501466
Hawaii;1989;514084
Hawaii;1990;536290,0833
Hawaii;1991;555206,1667
Hawaii;1992;558886,9167
Hawaii;1993;560171,4167
Hawaii;1994;552917,1667
Hawaii;1995;552074,75
Hawaii;1996;558169,8333
Hawaii;1997;563541,9167
Hawaii;1998;564911,1667
Hawaii;1999;570422,0833
Hawaii;2000;580244
Hawaii;2001;583266,4167
Hawaii;2002;575590,4167
Hawaii;2003;578248,5833
Hawaii;2004;590112,1667
Hawaii;2005;608970,9167
Hawaii;2006;621560,9167
Hawaii;2007;620678,4167
Hawaii;2008;612007,3333
Hawaii;2009;586654,0833
Hawaii;2010;602269,6667
Hawaii;2011;615189,8333
Hawaii;2012;608345,75
Hawaii;2013;619699,6667
Hawaii;2014;636526
Hawaii;2015;649942,8333
Hawaii;2016;662870,0833
Hawaii;2017;667025,8333
Hawaii;2018;662189,0833
Hawaii;2019;655136
Idaho;1980;396606,0833
Idaho;1981;396901,75
Idaho;1982;398793,25
Idaho;1983;413393,3333
Idaho;1984;428854,25
Idaho;1985;429915,5
Idaho;1986;431766,3333
Idaho;1987;435111,5
Idaho;1988;450306,5
Idaho;1989;463624,4167
Idaho;1990;465196,0833
Idaho;1991;476574
Idaho;1992;497279,3333
Idaho;1993;521065,4167
Idaho;1994;555329,6667
Idaho;1995;568203,25
Idaho;1996;584103,3333
Idaho;1997;601184,8333
Idaho;1998;616050,8333
Idaho;1999;619466,5833
Idaho;2000;628902,1667
Idaho;2001;643233,5
Idaho;2002;646757,5
Idaho;2003;651286,4167
Idaho;2004;668594,5
Idaho;2005;702195,5833
Idaho;2006;721258,9167
Idaho;2007;731140,0833
Idaho;2008;716678,25
Idaho;2009;690750,6667
Idaho;2010;692918,0833
Idaho;2011;701398,8333
Idaho;2012;713790,5833
Idaho;2013;723804,6667
Idaho;2014;742368,5833
Idaho;2015;762329,3333
Idaho;2016;784174,75
Idaho;2017;807825,6667
Idaho;2018;832500,8333
Idaho;2019;842590,25
Illinois;1980;5101237,583
Illinois;1981;5114133
Illinois;1982;4976305,833
Illinois;1983;4942520,5
Illinois;1984;5105137,583
Illinois;1985;5158607,333
Illinois;1986;5223263,083
Illinois;1987;5329011,167
Illinois;1988;5460006,583
Illinois;1989;5634211
Illinois;1990;5579613,917
Illinois;1991;5514914,667
Illinois;1992;5550505
Illinois;1993;5621595,917
Illinois;1994;5756498,333
Illinois;1995;5855554,583
Illinois;1996;5917887
Illinois;1997;6000257,25
Illinois;1998;6068620,25
Illinois;1999;6187086
Illinois;2000;6211998,417
Illinois;2001;6112230,75
Illinois;2002;5934621,917
Illinois;2003;5873486,75
Illinois;2004;5931725,583
Illinois;2005;6034372,583
Illinois;2006;6228763,25
Illinois;2007;6335781,833
Illinois;2008;6238180,5
Illinois;2009;5945401,5
Illinois;2010;5936273,417
Illinois;2011;5948171,25
Illinois;2012;5990449,667
Illinois;2013;5959883,25
Illinois;2014;6051528,417
Illinois;2015;6124517,333
Illinois;2016;6169544,333
Illinois;2017;6170586
Illinois;2018;6190699,083
Illinois;2019;6196633,5
Indiana;1980;2372764,833
Indiana;1981;2359231,75
Indiana;1982;2287917,083
Indiana;1983;2294414,667
Indiana;1984;2407102
Indiana;1985;2499642,083
Indiana;1986;2559696,333
Indiana;1987;2586544,333
Indiana;1988;2658793,833
Indiana;1989;2718396,417
Indiana;1990;2664289,583
Indiana;1991;2626878,333
Indiana;1992;2669586,667
Indiana;1993;2789458,667
Indiana;1994;2915061,5
Indiana;1995;2990883,25
Indiana;1996;2983943
Indiana;1997;3011991,667
Indiana;1998;3026613,083
Indiana;1999;3030737,167
Indiana;2000;3029470,083
Indiana;2001;3006658,083
Indiana;2002;3007360,5
Indiana;2003;3013759,917
Indiana;2004;2997678,917
Indiana;2005;3030278,75
Indiana;2006;3071095,25
Indiana;2007;3061557,833
Indiana;2008;3041168,917
Indiana;2009;2866182,75
Indiana;2010;2846233,417
Indiana;2011;2891692,25
Indiana;2012;2905853,333
Indiana;2013;2944736,667
Indiana;2014;3033023,833
Indiana;2015;3109480,917
Indiana;2016;3182331,417
Indiana;2017;3218100
Indiana;2018;3265055,833
Indiana;2019;3287759,75
Iowa;1980;1348604,167
Iowa;1981;1332747,583
Iowa;1982;1303068,583
Iowa;1983;1307143,083
Iowa;1984;1317517,083
Iowa;1985;1307593,333
Iowa;1986;1337016,167
Iowa;1987;1373435,583
Iowa;1988;1424349,667
Iowa;1989;1445469,667
Iowa;1990;1387444,25
Iowa;1991;1406136
Iowa;1992;1444237,75
Iowa;1993;1496809,083
Iowa;1994;1523835,75
Iowa;1995;1532536,75
Iowa;1996;1551997,833
Iowa;1997;1553241,417
Iowa;1998;1552201
Iowa;1999;1555160,583
Iowa;2000;1548543,75
Iowa;2001;1559068,917
Iowa;2002;1572457,5
Iowa;2003;1534415,333
Iowa;2004;1529676,333
Iowa;2005;1560163,25
Iowa;2006;1596252,333
Iowa;2007;1599606,167
Iowa;2008;1608619,333
Iowa;2009;1579621,167
Iowa;2010;1577500,583
Iowa;2011;1570382,167
Iowa;2012;1569676,917
Iowa;2013;1595085,167
Iowa;2014;1629384,667
Iowa;2015;1637312,5
Iowa;2016;1633300
Iowa;2017;1626609,25
Iowa;2018;1643630,833
Iowa;2019;1662607
Kansas;1980;1134805,833
Kansas;1981;1135857,917
Kansas;1982;1118637,083
Kansas;1983;1119260,5
Kansas;1984;1144628,417
Kansas;1985;1165410,167
Kansas;1986;1175418,75
Kansas;1987;1202048,417
Kansas;1988;1218589,75
Kansas;1989;1230782,417
Kansas;1990;1217609,75
Kansas;1991;1223679,5
Kansas;1992;1249937,083
Kansas;1993;1267118,417
Kansas;1994;1282751
Kansas;1995;1290073
Kansas;1996;1300346,333
Kansas;1997;1330008,5
Kansas;1998;1366499,667
Kansas;1999;1379007,667
Kansas;2000;1356208,667
Kansas;2001;1331943,083
Kansas;2002;1341790,417
Kansas;2003;1357742,833
Kansas;2004;1383679
Kansas;2005;1392009,083
Kansas;2006;1402699,417
Kansas;2007;1420488,75
Kansas;2008;1430533,083
Kansas;2009;1413930,167
Kansas;2010;1395098,917
Kansas;2011;1394116,083
Kansas;2012;1400017,417
Kansas;2013;1407444,583
Kansas;2014;1424423,917
Kansas;2015;1428698,083
Kansas;2016;1425437,083
Kansas;2017;1424746,25
Kansas;2018;1432155
Kansas;2019;1435111,5
Kentucky;1980;1527145,833
Kentucky;1981;1522046,917
Kentucky;1982;1501481,083
Kentucky;1983;1507804,5
Kentucky;1984;1546283,333
Kentucky;1985;1537985,167
Kentucky;1986;1534572,75
Kentucky;1987;1548963,25
Kentucky;1988;1582281,083
Kentucky;1989;1626108
Kentucky;1990;1649072,167
Kentucky;1991;1634609
Kentucky;1992;1656534,417
Kentucky;1993;1691004
Kentucky;1994;1727809,167
Kentucky;1995;1755043,833
Kentucky;1996;1771719,417
Kentucky;1997;1814724,083
Kentucky;1998;1844299,917
Kentucky;1999;1871166
Kentucky;2000;1883786
Kentucky;2001;1857155,75
Kentucky;2002;1833569,583
Kentucky;2003;1839575,917
Kentucky;2004;1857587,333
Kentucky;2005;1882217,583
Kentucky;2006;1913007,25
Kentucky;2007;1922622,083
Kentucky;2008;1900368,833
Kentucky;2009;1847673,917
Kentucky;2010;1845235,75
Kentucky;2011;1863054,5
Kentucky;2012;1891460,667
Kentucky;2013;1891384,5
Kentucky;2014;1876914,75
Kentucky;2015;1875071,833
Kentucky;2016;1910913,25
Kentucky;2017;1952960,833
Kentucky;2018;1972235,917
Kentucky;2019;1980113
Louisiana;1980;1664485,25
Louisiana;1981;1699097,833
Louisiana;1982;1675702,333
Louisiana;1983;1688367
Louisiana;1984;1755171,167
Louisiana;1985;1756582,5
Louisiana;1986;1726585,333
Louisiana;1987;1712118,083
Louisiana;1988;1712837,167
Louisiana;1989;1731696
Louisiana;1990;1753368,333
Louisiana;1991;1768876,5
Louisiana;1992;1767191,917
Louisiana;1993;1753426,75
